Kappa file for Run 1 on 20200813 on sample T20-5d, HT thermometer
T0 (K)    Power (W)    Rth (ohms)    dR (ohms)    Ith (A)
5.6396    0   11250.1    0    8.21927e-09
5.64025    1.07684e-08   11171.2    -78.9585    8.22198e-09
5.64095    2.15563e-08   11103.9    -146.213    8.21864e-09
5.6413    3.23775e-08   11027.1    -223.004    8.22024e-09
5.6415    4.31447e-08   10962.2    -287.881    8.21972e-09
5.7534    0   10908.9    0    8.0742e-09
5.7542    1.12791e-08   10830.6    -78.3037    8.0762e-09
5.755    2.25716e-08   10762.6    -146.321    8.07723e-09
5.75545    3.3881e-08   10704    -204.857    8.0721e-09
5.7557    4.51538e-08   10631.3    -277.625    8.07282e-09
5.8697    0   10555.2    0    7.90885e-09
5.8706    1.19251e-08   10487.9    -67.3382    7.90783e-09
5.8714    2.38789e-08   10412.8    -142.354    7.91212e-09
5.8719    3.58459e-08   10350.8    -204.407    7.90833e-09
5.87215    4.77754e-08   10290.8    -264.45    7.90593e-09
5.98875    0   10210.2    0    7.71105e-09
5.9896    1.24356e-08   10145.4    -64.7942    7.71016e-09
5.9904    2.49047e-08   10074.3    -135.879    7.71135e-09
5.99085    3.73705e-08   10006.3    -203.916    7.71607e-09
5.9911    4.98186e-08   9952.09    -258.087    7.71315e-09
6.11015    0   9857.04    0    7.56736e-09
6.11095    1.3132e-08   9783.17    -73.8777    7.57035e-09
6.1117    2.62774e-08   9724.99    -132.051    7.5716e-09
6.11215    3.94337e-08   9652.47    -204.577    7.58076e-09
6.1124    5.25715e-08   9597.01    -260.034    7.57509e-09
6.2336    0   9507.67    0    7.38846e-09
6.23455    1.38233e-08   9446.78    -60.8856    7.38431e-09
6.2354    2.76482e-08   9387.34    -120.327    7.38761e-09
6.23585    4.15027e-08   9328.01    -179.663    7.38856e-09
6.2361    5.53369e-08   9274.51    -233.16    7.38481e-09
6.3604    0   9233.66    0    7.20936e-09
6.36115    1.45011e-08   9174.74    -58.9159    7.21026e-09
6.36185    2.90375e-08   9115.08    -118.577    7.20951e-09
6.36225    4.35902e-08   9060.32    -173.336    7.21026e-09
6.36245    5.80879e-08   9000.71    -232.948    7.2129e-09
6.4891    0   8952.35    0    7.04424e-09
6.4899    1.54117e-08   8898.89    -53.4642    7.04279e-09
6.49065    3.08441e-08   8839.68    -112.675    7.04214e-09
6.49105    4.62577e-08   8783.14    -169.212    7.04264e-09
6.49125    6.16909e-08   8723.95    -228.404    7.04604e-09
6.62065    0   8671.49    0    6.92049e-09
6.6214    1.61296e-08   8613.86    -57.6351    6.91905e-09
6.62205    3.23096e-08   8562.4    -109.096    6.91856e-09
6.62245    4.8469e-08   8507.48    -164.011    6.91662e-09
6.6227    6.46072e-08   8452.02    -219.471    6.92059e-09
6.7546    0   8379.85    0    6.76638e-09
6.7554    1.69635e-08   8321.96    -57.8945    6.76698e-09
6.75615    3.39375e-08   8277.06    -102.794    6.76448e-09
6.75655    5.09096e-08   8230.79    -149.061    6.76183e-09
6.75675    6.78974e-08   8172.03    -207.82    6.76383e-09
6.8913    0   8092.19    0    6.61694e-09
6.8921    1.784e-08   8030.8    -61.3864    6.61898e-09
6.89285    3.5714e-08   7987.2    -104.985    6.61574e-09
6.8933    5.35537e-08   7940.9    -151.29    6.61304e-09
6.89355    7.14092e-08   7891.71    -200.478    6.61444e-09
7.0313    0   7859.98    0    6.47546e-09
7.032    1.87886e-08   7805.48    -54.5008    6.47654e-09
7.0326    3.76231e-08   7757.93    -102.045    6.47795e-09
7.03295    5.64666e-08   7712.52    -147.454    6.47586e-09
7.03315    7.52512e-08   7666.2    -193.777    6.47625e-09
7.17375    0   7635.42    0    6.34683e-09
7.1744    1.98306e-08   7588.32    -47.0999    6.34857e-09
7.175    3.96893e-08   7547.64    -87.7795    6.34407e-09
7.17535    5.95204e-08   7496.41    -139.012    6.34797e-09
7.17555    7.93718e-08   7451    -184.421    6.34703e-09
7.319    0   7480.03    0    6.21855e-09
7.3197    2.08593e-08   7370.56    -109.479    6.21551e-09
7.3203    4.17454e-08   7326.86    -153.172    6.21388e-09
7.32065    6.26029e-08   7277.23    -202.802    6.21734e-09
7.3208    8.34918e-08   7237.2    -242.836    6.21622e-09
7.46715    0   7188.93    0    6.09385e-09
7.46785    2.19683e-08   7142.3    -46.6321    6.09475e-09
7.46855    4.39451e-08   7102.86    -86.0717    6.09512e-09
7.4689    6.59387e-08   7052.53    -136.4    6.09292e-09
7.46905    8.79306e-08   7012.39    -176.543    6.09204e-09
7.6184    0   6967.03    0    5.96836e-09
7.6191    2.30677e-08   6924.35    -42.6728    5.96677e-09
7.6197    4.61758e-08   6879.46    -87.5632    5.96784e-09
7.62005    6.92749e-08   6837.97    -129.052    5.96854e-09
7.62025    9.23784e-08   6794.29    -172.736    5.9692e-09
7.7726    0   6734.76    0    5.85466e-09
7.7733    2.43239e-08   6688.5    -46.2634    5.8552e-09
7.77395    4.86758e-08   6652.81    -81.9516    5.85542e-09
7.77435    7.29898e-08   6612.78    -121.977    5.85415e-09
7.77455    9.73556e-08   6575.16    -159.596    5.85487e-09
7.9299    0   6500.34    0    5.71532e-09
7.93065    2.56309e-08   6465.09    -35.246    5.7114e-09
7.93135    5.12779e-08   6423.54    -76.7999    5.71379e-09
7.9317    7.69438e-08   6385.62    -114.715    5.71487e-09
7.9319    1.02584e-07   6345.99    -154.346    5.71546e-09
8.09085    0   6328.35    0    5.57989e-09
8.09145    2.69767e-08   6289.09    -39.2651    5.57684e-09
8.092    5.39935e-08   6247.54    -80.8106    5.57639e-09
8.0923    8.10138e-08   6209.44    -118.916    5.58163e-09
8.0925    1.08021e-07   6182.09    -146.266    5.5747e-09
8.2547    0   6150.98    0    5.47538e-09
8.25535    2.82428e-08   6113.74    -37.2471    5.47578e-09
8.2559    5.65466e-08   6082.12    -68.8654    5.47219e-09
8.2562    8.48211e-08   6047.74    -103.241    5.47374e-09
8.2563    1.13085e-07   6007.94    -143.04    5.47658e-09
8.42175    0   5976.87    0    5.38167e-09
8.42235    2.98549e-08   5934.58    -42.2919    5.37962e-09
8.42295    5.97146e-08   5903.22    -73.6495    5.37732e-09
8.4233    8.95747e-08   5867.85    -109.014    5.37577e-09
8.42345    1.19485e-07   5833.04    -143.826    5.37867e-09
8.59225    0   5804.11    0    5.28535e-09
8.5929    3.13639e-08   5761.02    -43.0934    5.2857e-09
8.5935    6.27402e-08   5720.69    -83.417    5.28835e-09
8.59385    9.41009e-08   5692.27    -111.843    5.2881e-09
8.59405    1.25524e-07   5657.06    -147.049    5.28605e-09
8.7661    0   5610.33    0    5.19867e-09
8.7668    3.28567e-08   5578.52    -31.8105    5.19757e-09
8.76745    6.57575e-08   5552.56    -57.7697    5.19423e-09
8.7678    9.8672e-08   5517.76    -92.567    5.19373e-09
8.768    1.31554e-07   5488.78    -121.545    5.19218e-09
8.94375    0   5435.02    0    5.06801e-09
8.94445    3.45955e-08   5403.29    -31.7306    5.06451e-09
8.9451    6.91909e-08   5373.31    -61.7106    5.06597e-09
8.9454    1.03821e-07   5340.53    -94.4902    5.06345e-09
8.94555    1.38452e-07   5309.28    -125.738    5.06236e-09
9.12505    0   5301.85    0    4.97798e-09
9.12565    3.66443e-08   5265.08    -36.7655    4.97708e-09
9.1262    7.33058e-08   5226.64    -75.2054    4.98422e-09
9.1265    1.09962e-07   5192.29    -109.562    4.98499e-09
9.12665    1.46653e-07   5164.62    -137.227    4.98091e-09
9.3099    0   5147.24    0    4.90418e-09
9.31055    3.8252e-08   5117.46    -29.7778    4.9036e-09
9.31105    7.65472e-08   5082.78    -64.4578    4.90435e-09
9.3113    1.14855e-07   5056.71    -90.5319    4.90388e-09
9.31145    1.53145e-07   5028.69    -118.548    4.90108e-09
9.49835    0   5000.14    0    4.82477e-09
9.49895    4.02059e-08   4971.33    -28.8079    4.82361e-09
9.49955    8.04371e-08   4940.24    -59.9011    4.82613e-09
9.49985    1.20721e-07   4914.23    -85.9123    4.82416e-09
9.5    1.60965e-07   4881.7    -118.442    4.82511e-09
9.6906    0   4851.53    0    4.71093e-09
9.6913    4.23489e-08   4826.07    -25.4637    4.70979e-09
9.6919    8.4712e-08   4796.56    -54.9725    4.71036e-09
9.6922    1.27129e-07   4768.98    -82.5562    4.71086e-09
9.69235    1.69538e-07   4740.74    -110.794    4.71003e-09
9.8869    0   4704.76    0    4.63669e-09
9.88755    4.45353e-08   4677.06    -27.7019    4.63716e-09
9.8881    8.90699e-08   4648.52    -56.2413    4.63858e-09
9.8884    1.33658e-07   4620.47    -84.2838    4.63838e-09
9.88855    1.78215e-07   4597.88    -106.878    4.63507e-09
10.087    0   4572.5    0    4.56693e-09
10.0875    4.67336e-08   4545.7    -26.7993    4.56998e-09
10.0885    9.35298e-08   4515.05    -57.4445    4.56805e-09
10.089    1.40345e-07   4486.33    -86.1695    4.56994e-09
10.089    1.87089e-07   4460.9    -111.595    4.57206e-09
10.2915    0   4446.75    0    4.47361e-09
10.292    4.94012e-08   4419.58    -27.1693    4.47413e-09
10.2925    9.8846e-08   4391.33    -55.413    4.47199e-09
10.293    1.48273e-07   4369.81    -76.9375    4.47519e-09
10.293    1.9775e-07   4344.11    -102.635    4.47278e-09
10.5    0   4324.65    0    4.40637e-09
10.5005    5.17718e-08   4294.79    -29.8598    4.40697e-09
10.501    1.03572e-07   4273.34    -51.3044    4.40744e-09
10.501    1.55426e-07   4247.78    -76.87    4.40483e-09
10.5015    2.07164e-07   4222.94    -101.705    4.40688e-09
10.7125    0   4199.89    0    4.34542e-09
10.713    5.44869e-08   4174.99    -24.8999    4.34229e-09
10.7135    1.08959e-07   4150.47    -49.4181    4.34198e-09
10.714    1.6349e-07   4126.31    -73.5719    4.34559e-09
10.714    2.18038e-07   4107.84    -92.0416    4.34218e-09
10.9295    0   4077.41    0    4.27771e-09
10.93    5.7227e-08   4052.03    -25.3834    4.28187e-09
10.9305    1.14503e-07   4031.48    -45.9375    4.28032e-09
10.931    1.71808e-07   4006.78    -70.6382    4.27769e-09
10.931    2.29003e-07   3983.06    -94.3515    4.27912e-09
11.151    0   3964.95    0    4.19211e-09
11.1515    5.99471e-08   3943.36    -21.5891    4.19446e-09
11.152    1.19998e-07   3920.54    -44.4045    4.19036e-09
11.152    1.79979e-07   3898.9    -66.0521    4.19157e-09
11.152    2.39969e-07   3878.61    -86.3367    4.18964e-09
11.3765    0   3867.86    0    4.1329e-09
11.3775    6.30616e-08   3839.87    -27.9929    4.13458e-09
11.378    1.26238e-07   3815.33    -52.527    4.13522e-09
11.378    1.89329e-07   3796.56    -71.3004    4.13387e-09
