Kappa file for Run 12 on 20200810 on sample T20-5d, LT thermometer
T0 (K)    Power (W)    Rth (ohms)    dR (ohms)    Ith (A)
2.24    0   22386.1    0    6.38873e-09
2.24    1.08245e-09   22166.2    -219.865    6.39034e-09
2.24    2.16671e-09   21983.4    -402.684    6.39048e-09
2.24    3.25175e-09   21809.7    -576.382    6.38942e-09
2.24005    4.33624e-09   21611.8    -774.311    6.38996e-09
2.28435    0   21492.8    0    6.20962e-09
2.2847    1.14434e-09   21286.7    -206.074    6.21163e-09
2.285    2.28995e-09   21128.5    -364.327    6.21146e-09
2.2852    3.43656e-09   20924.4    -568.408    6.21128e-09
2.28525    4.56984e-09   20744.4    -748.406    6.21131e-09
2.33075    0   20661.9    0    6.11461e-09
2.331    1.20612e-09   20473.4    -188.469    6.11532e-09
2.3313    2.41318e-09   20275.5    -386.35    6.11129e-09
2.33145    3.62097e-09   20018.4    -643.525    6.11447e-09
2.33155    4.81748e-09   19933.7    -728.195    6.11433e-09
2.37785    0   19737.9    0    6.01326e-09
2.3782    1.26658e-09   19515    -222.81    6.01225e-09
2.3785    2.5345e-09   19417.6    -320.209    6.00999e-09
2.37865    3.8026e-09   19249.4    -488.444    6.01218e-09
2.37875    5.05419e-09   19089.6    -648.284    6.01262e-09
2.42605    0   18887.1    0    5.74511e-09
2.4264    1.33572e-09   18714.7    -172.404    5.74725e-09
2.4267    2.67239e-09   18583.7    -303.418    5.74755e-09
2.42685    4.00982e-09   18428.6    -458.548    5.74835e-09
2.42695    5.3348e-09   18263    -624.096    5.7472e-09
2.47535    0   18098.3    0    5.8565e-09
2.47565    1.40806e-09   17909.9    -188.472    5.85835e-09
2.4759    2.8179e-09   17780.2    -318.142    5.8561e-09
2.47605    4.22843e-09   17612.9    -485.412    5.855e-09
2.47615    5.62726e-09   17464.5    -633.783    5.8573e-09
2.5255    0   17314.7    0    5.29933e-09
2.5258    1.47858e-09   17154.9    -159.834    5.30302e-09
2.52605    2.95965e-09   16963.3    -351.379    5.29973e-09
2.52615    4.43334e-09   16875.2    -439.525    5.30143e-09
2.52625    5.90629e-09   16721.6    -593.051    5.3017e-09
2.5766    0   16465.8    0    5.98003e-09
2.5769    1.54403e-09   16313.9    -151.91    5.97908e-09
2.5772    3.09058e-09   16182.6    -283.205    5.97863e-09
2.57735    4.62006e-09   16071.9    -393.908    5.97763e-09
2.5774    6.16527e-09   15895.8    -569.972    5.97963e-09
2.62885    0   15678    0    4.52177e-09
2.62915    1.63032e-09   15531.6    -146.382    4.52237e-09
2.6294    3.26182e-09   15398.6    -279.381    4.52097e-09
2.62955    4.88525e-09   15267.4    -410.564    4.52167e-09
2.6296    6.50745e-09   15134.6    -543.343    4.52327e-09
