Kappa file for Run 4 on 20200812 on sample T20-5d, LT thermometer
T0 (K)    Power (W)    Rth (ohms)    dR (ohms)    Ith (A)
5.366    0   3167.4    0    3.57613e-09
5.36605    9.56307e-09   3144.35    -23.0496    3.5747e-09
5.36615    1.91432e-08   3117.74    -49.6574    3.5761e-09
5.3663    2.87116e-08   3095.11    -72.2928    3.57293e-09
5.36645    3.82892e-08   3064.83    -102.568    3.5792e-09
5.471    0   3030.33    0    3.55822e-09
5.47185    1.00231e-08   3006.24    -24.0859    3.55718e-09
5.47265    2.00679e-08   2980.54    -49.7905    3.55904e-09
5.4731    3.01132e-08   2957.94    -72.3917    3.5594e-09
5.47335    4.0161e-08   2930.71    -99.6201    3.56107e-09
5.58195    0   2903.29    0    3.5024e-09
5.5828    1.04856e-08   2876.99    -26.3017    3.50405e-09
5.58355    2.09741e-08   2856.85    -46.4389    3.4997e-09
5.58395    3.14954e-08   2835.55    -67.7423    3.49934e-09
5.5842    4.19798e-08   2818.17    -85.1196    3.49556e-09
5.69515    0   2796.22    0    3.42841e-09
5.69595    1.10786e-08   2773.46    -22.7577    3.42701e-09
5.69665    2.21834e-08   2748    -48.214    3.42717e-09
5.69705    3.32925e-08   2727.14    -69.0779    3.42954e-09
5.6973    4.43867e-08   2707.11    -89.1076    3.42729e-09
5.8102    0   2692.9    0    3.364e-09
5.81105    1.16582e-08   2669.27    -23.6363    3.36483e-09
5.8119    2.33193e-08   2640.8    -52.103    3.36891e-09
5.81235    3.49914e-08   2630.35    -62.5541    3.36228e-09
5.8126    4.66777e-08   2608.52    -84.3866    3.36163e-09
5.92795    0   2584.5    0    3.30877e-09
5.9288    1.22833e-08   2563.95    -20.5461    3.30972e-09
5.9296    2.45923e-08   2540.03    -44.4704    3.30993e-09
5.93005    3.69115e-08   2522.5    -61.9988    3.30954e-09
5.93025    4.9212e-08   2503.55    -80.9516    3.30953e-09
6.0481    0   2474.95    0    3.25839e-09
6.0489    1.29441e-08   2453.15    -21.8028    3.25805e-09
6.04965    2.59038e-08   2436.08    -38.8737    3.25816e-09
6.05005    3.88577e-08   2417.34    -57.6084    3.2603e-09
6.0503    5.18218e-08   2396.09    -78.8637    3.25985e-09
6.1701    0   2369.23    0    3.20469e-09
6.1711    1.35847e-08   2346.5    -22.7249    3.20819e-09
6.172    2.71572e-08   2328.3    -40.931    3.20857e-09
6.1725    4.0766e-08   2311.1    -58.1251    3.20561e-09
6.1728    5.43834e-08   2289.27    -79.9586    3.20858e-09
6.29575    0   2279.42    0    3.13833e-09
6.29655    1.42475e-08   2261.14    -18.2861    3.14023e-09
6.29725    2.85159e-08   2245.18    -34.2418    3.1406e-09
6.29765    4.27718e-08   2225.88    -53.5478    3.13905e-09
6.29785    5.70319e-08   2211.78    -67.6466    3.14039e-09
6.42335    0   2196.7    0    3.09519e-09
6.4241    1.49814e-08   2180.33    -16.3729    3.09619e-09
6.42475    2.99999e-08   2164.29    -32.4079    3.09391e-09
6.42515    4.50054e-08   2148.96    -47.7387    3.09615e-09
6.42535    6.00107e-08   2132.5    -64.2012    3.09515e-09
6.55345    0   2113.63    0    3.05313e-09
6.5542    1.57562e-08   2100.1    -13.5267    3.05003e-09
6.5549    3.15551e-08   2083.41    -30.2211    3.05237e-09
6.55525    4.73337e-08   2068.61    -45.0228    3.04971e-09
6.55545    6.31139e-08   2054.88    -58.7454    3.04798e-09
6.6861    0   2034    0    3.00663e-09
6.6869    1.66309e-08   2018.87    -15.134    3.00647e-09
6.6876    3.32849e-08   2000.95    -33.0571    3.00635e-09
6.68795    4.99453e-08   1988.9    -45.106    3.00577e-09
6.68815    6.66143e-08   1976.55    -57.4563    3.00473e-09
6.82155    0   1953.48    0    2.94765e-09
6.82235    1.74564e-08   1940.37    -13.1104    2.94677e-09
6.823    3.49694e-08   1924.1    -29.3785    2.94787e-09
6.82335    5.24253e-08   1907.81    -45.6634    2.95013e-09
6.82355    6.99178e-08   1899.53    -53.9481    2.94373e-09
6.95975    0   1876.75    0    2.90659e-09
6.96045    1.83725e-08   1863.83    -12.9267    2.90495e-09
6.9612    3.67791e-08   1851.43    -25.324    2.90754e-09
6.9615    5.51619e-08   1835.3    -41.4493    2.90745e-09
6.9617    7.35383e-08   1823.71    -53.0447    2.90721e-09
7.1009    0   1817.4    0    2.86712e-09
7.1016    1.94215e-08   1804.14    -13.2592    2.86563e-09
7.1022    3.88964e-08   1792.29    -25.1084    2.87047e-09
7.1025    5.83193e-08   1783.33    -34.0715    2.86467e-09
7.1027    7.77854e-08   1768.05    -49.3468    2.86619e-09
7.24475    0   1762.25    0    2.823e-09
7.2454    2.03087e-08   1743.91    -18.3411    2.83303e-09
7.246    4.06732e-08   1739.1    -23.145    2.82295e-09
7.24635    6.10207e-08   1723.24    -39.0104    2.82732e-09
7.2465    8.13309e-08   1707.4    -54.8514    2.83481e-09
7.3914    0   1698.45    0    2.79334e-09
7.3921    2.13946e-08   1690.08    -8.37114    2.789e-09
7.3927    4.28293e-08   1679.17    -19.2812    2.78684e-09
7.393    6.42494e-08   1666.43    -32.0171    2.79279e-09
7.3932    8.5677e-08   1654.01    -44.4386    2.79009e-09
7.541    0   1643.49    0    2.75141e-09
7.5417    2.2621e-08   1631.38    -12.101    2.75133e-09
7.5423    4.5272e-08   1618.26    -25.2288    2.75145e-09
7.54265    6.79176e-08   1611.49    -31.9929    2.75169e-09
7.5429    9.05907e-08   1598.92    -44.5635    2.74921e-09
7.6937    0   1587.48    0    2.7133e-09
7.6944    2.37779e-08   1578.1    -9.381    2.71216e-09
7.69505    4.76046e-08   1566.91    -20.5781    2.71476e-09
7.6954    7.14009e-08   1554.77    -32.7138    2.71458e-09
7.69555    9.5222e-08   1547.17    -40.3196    2.71228e-09
7.8493    0   1527.75    0    2.68167e-09
7.8501    2.50151e-08   1518.34    -9.41067    2.67805e-09
7.8508    5.00854e-08   1509.13    -18.6207    2.67874e-09
7.85115    7.51354e-08   1498.98    -28.774    2.67615e-09
7.85135    1.00178e-07   1487.31    -40.4482    2.68413e-09
8.00845    0   1480.12    0    2.63093e-09
8.00915    2.63773e-08   1469.67    -10.444    2.63008e-09
8.00975    5.27814e-08   1461.86    -18.2561    2.63179e-09
8.01005    7.91713e-08   1454.83    -25.2819    2.63125e-09
8.0103    1.05571e-07   1443.23    -36.8896    2.63264e-09
8.1708    0   1438.42    0    2.59861e-09
8.1715    2.77265e-08   1430.96    -7.45997    2.59825e-09
8.17205    5.54641e-08   1421.1    -17.3261    2.60252e-09
8.17235    8.32055e-08   1410.71    -27.7107    2.60425e-09
8.1725    1.1097e-07   1404.61    -33.8093    2.60136e-09
8.33625    0   1394.8    0    2.58567e-09
8.3369    2.92859e-08   1393.17    -1.63105    2.57527e-09
8.3375    5.85424e-08   1381.51    -13.2891    2.57641e-09
8.3378    8.78387e-08   1374.68    -20.1267    2.57522e-09
8.33795    1.17213e-07   1362.77    -32.0308    2.58214e-09
8.505    0   1355.87    0    2.54086e-09
8.5057    3.08408e-08   1352.08    -3.78874    2.54175e-09
8.5063    6.16882e-08   1342.09    -13.7743    2.54043e-09
8.5066    9.25649e-08   1335.37    -20.5003    2.54177e-09
8.5067    1.23438e-07   1329.12    -26.7518    2.5418e-09
8.6772    0   1320.59    0    2.54954e-09
8.6778    3.24259e-08   1311.67    -8.91773    2.54701e-09
8.67845    6.48912e-08   1305.29    -15.3007    2.54576e-09
8.6788    9.73312e-08   1296.62    -23.9663    2.54627e-09
8.67895    1.29832e-07   1294.59    -25.9986    2.54393e-09
8.8529    0   1283.92    0    2.54772e-09
8.85355    3.38759e-08   1276.98    -6.93741    2.54573e-09
8.85415    6.77927e-08   1270.03    -13.8935    2.54619e-09
8.8545    1.017e-07   1266.87    -17.0555    2.54459e-09
8.85465    1.35632e-07   1255.73    -28.1882    2.54543e-09
